trajectory,step,t,x,v,scenario,m,c,k_slg,k_slg_role,g_global,e,x0,v0,ground,k_g,c_g,split
0,0,0,0.5256639048457146,0.22364064294379205,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,1,0.02,0.5297992820272431,0.1899147058059465,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,2,0.04,0.5332613285518617,0.15631406947591953,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,3,0.06,0.5360529380722835,0.12287740130090088,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,4,0.08,0.5381777716767175,0.08964277087751306,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,5,0.1,0.5396402455413098,0.056647610988250344,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,6,0.12,0.5404455178129,0.023928679702305458,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,7,0.14,0.5405994747457151,-0.00847797632625651,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,8,0.16,0.5401087161162618,-0.04053705733178471,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,9,0.18,0.5389805399412841,-0.07221404465238397,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,10,0.2,0.5372229265242262,-0.10347523365970797,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,11,0.22,0.5348445218561705,-0.134287765377418,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,12,0.24,0.5318546203977215,-0.16461965676434945,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,13,0.26,0.5282631472687649,-0.1944398296402666,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,14,0.28,0.5240806398734564,-0.22371813823393077,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,15,0.3,0.5193182289881809,-0.25242539533505787,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,16,0.32,0.5139876193405732,-0.28053339703359315,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,17,0.34,0.5081010697080048,-0.308014946031585,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
0,18,0.36,0.5016713725642153,-0.3348438735147903,spring,0.6321875681169331,0.33091247929260137,1.890217063948512,k,9.81,0.6502640788443387,0.5256639048457146,0.22364064294379205,rigid,2500,90,train
